"Rank
1995",Company,HQ Country,Sector,"Market Cap
($B)"
1.0,Nippon Telegraph,Japan,Telco,128000000000.0
2.0,AT&T,USA,Telco,103.0
3.0,Microsoft,USA,Software,52.0
4.0,IBM,USA,Hardware / Software,51.0
5.0,Intel,USA,Hardware,47.0
6.0,BellSouth,USA,Telco,43.0
7.0,HP,USA,Hardware,43.0
8.0,GTE,USA,Telco,42.0
9.0,BT,United Kingdom,Telco,34.0
10.0,Panasonic,Japan,Hardware,34.0
11.0,SingTel,Singapore,Telco,34.0
12.0,Motorola,USA,Hardware,34.0
13.0,Hitachi,Japan,Hardware,33.0
14.0,Verizon,USA,Telco,29.0
15.0,Toshiba,Japan,Hardware,26.0
16.0,Peraton,USA,Software / Hardware,25.0
17.0,Nynex,USA,Telco,24.0
18.0,Sony,Japan,Hardware,22.0
19.0,Cisco,USA,Hardware,21.0
20.0,Fujitsu,Japan,Hardware,20.0
21.0,PCCW,Hong Kong,Telco,20.0
22.0,NEC,Japan,Software,19.0
23.0,Oracle,USA,Hardware,18.0
24.0,MCI,USA,Telco,18.0
25.0,Sharp,Japan,Hardware,18.0
26.0,TelMex,Mexico,Telco,17.0
27.0,KDDI,Japan,Telco,17.0
28.0,US West,USA,Telco,17.0
29.0,Cable & Wireless,USA,Telco,16.0
30.0,Telekom Malaysia,Malaysia,Telco,16.0
