"Rank
2025",Company,HQ Country,Sector,"Market Cap
($B)"
1.0,Microsoft,USA,Software / AI,3368000000000.0
2.0,NVIDIA,USA,Semis / AI,3288.0
3.0,Apple,USA,Hardware / AI,3158.0
4.0,Amazon,USA,Internet / AI,2178.0
5.0,Alphabet (Google),USA,Internet / AI,1997.0
6.0,Meta Platforms (Facebook),USA,Internet / AI,1619.0
7.0,Tesla,USA,Auto / AI,1104.0
8.0,Broadcom,USA,Semis / AI,1094.0
9.0,TSMC,Taiwan,Semis / AI,856.0
10.0,Tencent,China,Software / AI,591.0
11.0,Netflix,USA,Internet / AI,501.0
12.0,Oracle,USA,Hardware / AI,447.0
13.0,SAP,Germany,Software / AI,343.0
14.0,Palantir,USA,Software / AI,302.0
15.0,ASML,Netherlands,Semis / AI,300.0
16.0,Alibaba,China,Internet / AI,281.0
17.0,Salesforce,USA,Software / AI,279.0
18.0,T-Mobile,USA,Telco,273.0
19.0,Samsung,S. Korea,Hardware / AI,268.0
20.0,Cisco,USA,Semis / AI,256.0
21.0,IBM,USA,Hardware / AI,243.0
22.0,China Mobile,China,Telco,241.0
23.0,Reliance,India,Telco,216.0
24.0,ServiceNow,USA,Software / AI,214.0
25.0,Intuitive Surgical,USA,Health Tech,201.0
26.0,AT&T,USA,Telco,197.0
27.0,Siemens,Germany,Hardware / AI,194.0
28.0,Uber,USA,Internet / AI,189.0
29.0,AMD,USA,Semis / AI,186.0
30.0,Intuit,USA,Software / AI,185.0
