"Rank
1995",Company,HQ Country,Sector,"Market Cap
($B)"
1.0,Nippon Telegraph,Japan,Telco,128000000000.0
2.0,General Electric,USA,Industrials,120.0
3.0,AT&T,USA,Telco,103.0
4.0,Exxon,USA,Energy,100.0
5.0,Coca-Cola,USA,Consumer Products,94.0
6.0,Merck,USA,Healthcare,81.0
7.0,Toyota,Japan,Automotive,79.0
8.0,Roche,Switzerland,Healthcare,78.0
9.0,Altria,USA,Consumer Products,75.0
10.0,Industrial Bank of Japan,Japan,Finance,71.0
11.0,MUFG Bank,Japan,Finance,68.0
12.0,SumimotoMitsui,Japan,Finance,66.0
13.0,Fuji Bank,Japan,Finance,64.0
14.0,Dai-Ichi Kangyo Bank,Japan,Finance,61.0
15.0,UFJ Bank,Japan,Finance,59.0
16.0,Novartis,Switzerland,Healthcare,57.0
17.0,Procter & Gamble,USA,Consumer Products,57.0
18.0,Johnson & Johnson,USA,Consumer Products,55.0
19.0,Microsoft,USA,Software,52.0
20.0,Walmart,USA,Consumer Products,51.0
21.0,IBM,USA,Hardware / Software,51.0
22.0,DirecTV,USA,Media,49.0
23.0,Intel,USA,Hardware,47.0
24.0,BP,United Kingdom,Energy,46.0
25.0,Nestle,Switzerland,Consumer Products,45.0
26.0,Mobil,USA,Energy,44.0
27.0,PepsiCo,USA,Consumer Products,44.0
28.0,AIG,USA,Finance,44.0
29.0,Shell,United Kingdom,Energy,44.0
30.0,Sakura Bank,Japan,Finance,43.0
