Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-06-01,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,78.1264419555664,80791200.0,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,AAPL
2020-06-01,,,,,,,ADBE
2020-06-01,387.0799865722656,389.989990234375,382.8999938964844,389.67999267578125,389.67999267578125,2034100.0,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,ADBE
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,122.4000015258789,123.84649658203125,122.20850372314453,123.552001953125,123.552001953125,58578000.0,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,AMZN
2020-06-01,,,,,,,BAC
2020-06-01,,,,,,,BAC
2020-06-01,,,,,,,BAC
