Ticker Symbol,Date (First trading day of the month),Opening Price,Closing Price,Trading Volume
AAPL,2020-06-01,79.4375,80.4625015258789,80791200
AAPL,2020-07-01,91.27999877929688,91.02749633789062,110737200
AAPL,2020-08-03,108.19999694824219,108.9375,308151200
AAPL,2020-09-01,132.75999450683594,134.17999267578125,151948100
AAPL,2020-10-01,117.63999938964844,116.79000091552734,116120400
AAPL,2020-11-02,109.11000061035156,108.7699966430664,122866900
AAPL,2020-12-01,121.01000213623047,122.72000122070312,127728200
AAPL,2021-01-04,133.52000427246094,129.41000366210938,143301900
AAPL,2021-02-01,133.75,134.13999938964844,106239800
AAPL,2021-03-01,123.75,127.79000091552734,116307900
AAPL,2021-04-01,123.66000366210938,123.0,75089100
AAPL,2021-05-03,132.0399932861328,132.5399932861328,75135100
AAPL,2021-06-01,125.08000183105469,124.27999877929688,67637100
AAPL,2021-07-01,136.60000610351562,137.27000427246094,52485800
AAPL,2021-08-02,146.36000061035156,145.52000427246094,62880000
AAPL,2021-09-01,152.8300018310547,152.50999450683594,80313700
AAPL,2021-10-01,141.89999389648438,142.64999389648438,94639600
AAPL,2021-11-01,148.99000549316406,148.9600067138672,74588300
AAPL,2021-12-01,167.47999572753906,164.77000427246094,152052500
AAPL,2022-01-03,177.8300018310547,182.00999450683594,104487900
AAPL,2022-02-01,174.00999450683594,174.61000061035156,86213900
AAPL,2022-03-01,164.6999969482422,163.1999969482422,83474400
AAPL,2022-04-01,174.02999877929688,174.30999755859375,78751300
AAPL,2022-05-02,156.7100067138672,157.9600067138672,123055300
AAPL,2022-06-01,149.89999389648438,148.7100067138672,74286600
AAPL,2022-07-01,136.0399932861328,138.92999267578125,71051600
AAPL,2022-08-01,161.00999450683594,161.50999450683594,67829400
AAPL,2022-09-01,156.63999938964844,157.9600067138672,74229900
AAPL,2022-10-03,138.2100067138672,142.4499969482422,114311700
AAPL,2022-11-01,155.0800018310547,150.64999389648438,80379300
AAPL,2022-12-01,148.2100067138672,148.30999755859375,71250400
AAPL,2023-01-03,130.27999877929688,125.06999969482422,112117500
